id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
25861509,Beautiful Room in GRAN VÍA next Pl. España,193696134,Patxi,Hostafrancs,41.37263,2.14568,Private room,2,96,2020-11-05,2.97,1,201,25
19393779,Modern 2 bedroom flat next to Camp Nou,135963330,Raquel & Diego,la Maternitat i Sant Ramon,41.3777,2.12019,Entire home/apt,2,117,2020-11-03,2.65,1,260,52
23261617,YH8/5-Marina | Luxury central apartment,14979846,General Estate,el Fort Pienc,41.39906,2.18075,Entire home/apt,33,2,2018-09-05,0.06,12,194,59
1986412,Paral·lel Soul Barcelona,10091776,Oscar Y Susana,Sant Antoni,41.37538,2.16604,Entire home/apt,5,380,2021-01-29,4.38,1,244,96
3097665,Apt for 4 people near Pl Catalunya MF,10380563,Tendency,l'Antiga Esquerra de l'Eixample,41.38691,2.16161,Entire home/apt,3,50,2020-12-12,1.13,44,33,68
9079017,"Apartamento Gaudir, con inspiraciones modernistas. Luminoso, céntrico y seguro.",47347356,Antoni___de La Empresa Dolton C.B.,la Dreta de l'Eixample,41.39682,2.17571,Entire home/apt,3,125,2020-03-14,2.57,4,312,176
44411104,"Cozy room in Barcelona's heart, Barrio Gothico",304338304,Ozdeniz,el Barri Gòtic,41.38143,2.18101,Private room,3,0,,,1,90,20
29556023,Chic apartment close to Rambla and Poble Sec,1869452,Giorgio,Sant Antoni,41.37729,2.1629,Entire home/apt,2,58,2020-03-10,2.18,2,101,104
21874824,Lujoso Apartamento Via Layetana,23226762,Erika,el Barri Gòtic,41.38389,2.17718,Entire home/apt,32,2,2018-06-30,0.06,16,0,116
45551873,Habitación doble exterior con baño privado y TV,2484443,Jordi,la Dreta de l'Eixample,41.39801,2.17187,Private room,90,0,,,1,346,25
13504430,Habitación tranquila y acogedora cerca del centro,77471206,Rosa,Sant Antoni,41.37641,2.16349,Private room,5,98,2020-03-18,1.77,1,0,25
13810749,Beautiful modernism apartment in the city centre,43565515,Homes In Blue,la Dreta de l'Eixample,41.3932,2.1602,Entire home/apt,2,3,2019-08-23,0.09,30,335,109
5322583,Barcelona beach apartment,27576460,Rosa,la Vila Olímpica del Poblenou,41.38976,2.19963,Entire home/apt,1,177,2020-10-03,2.5,2,318,98
42741257,super clean double bedroom,326155283,Tina,l'Antiga Esquerra de l'Eixample,41.39186,2.14639,Private room,1,0,,,1,0,45
437886,Centric Apartment in Barcelona 2,2004002,Xabier,la Dreta de l'Eixample,41.3912,2.17238,Private room,2,246,2019-07-27,2.31,2,0,50
4060175,Comfy Double Room/montjuic palace/Fira Barcelona,10939044,Nadine,Sant Antoni,41.37532,2.1529,Private room,2,175,2020-02-26,2.3,2,180,60
28104236,6-bed Mixed Dormitory Room,7104112,Tinika Sports Services Sl,l'Antiga Esquerra de l'Eixample,41.39014,2.15892,Hotel room,1,9,2020-02-27,0.34,11,0,9999
26448737,Fantastic doble room available for long stay,198876220,Mel,"Sant Pere, Santa Caterina i la Ribera",41.38834,2.17645,Private room,30,10,2019-08-11,0.32,1,363,55
42578292,Charming place in unbeatable location!,323564749,Rafa,l'Antiga Esquerra de l'Eixample,41.39201,2.15039,Private room,32,0,,,1,364,45
10238081,"Trendy, comfy and great views in superb location",15032322,Elisa,"Sant Pere, Santa Caterina i la Ribera",41.38559,2.18434,Entire home/apt,31,4,2019-11-16,0.13,1,288,153
3016050,Flat in the Center of Barcelona,5650710,Alicia,l'Antiga Esquerra de l'Eixample,41.39296,2.15387,Entire home/apt,6,3,2017-08-27,0.04,2,362,384
5516844,Beautiful apartment in city center,15775899,Antonio,la Dreta de l'Eixample,41.39102,2.17544,Entire home/apt,3,158,2020-08-02,2.23,6,221,125
29087411,pdo12 GREAT LOCATION GOTHIC! HAPPY ACOMODIS FLATS!,1447144,Apartments In Barcelona,el Barri Gòtic,41.38175,2.17965,Entire home/apt,1,0,,,126,0,180
