id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
37030488,Cute next to the beach,14246234,Mercedes,el Poblenou,41.40339,2.20368,Entire home/apt,30,1,2019-09-05,0.06,1,153,153.03
37347948,Piso a compartir junto a Plaza de Catalunya,4223815,Cristina,el Barri Gòtic,41.38313,2.17608,Private room,32,1,2019-08-14,0.05,3,364,364.0
256354,tranquila room in cosy flat....,1348378,Lidia,el Putxet i el Farró,41.41269,2.13924,Private room,7,51,2020-10-30,0.47,2,254,254.0
5540936,"HABITACIÓN INDIVIDUAL "" MAR""",22693015,Virginia,la Bordeta,41.36971,2.14117,Private room,2,10,2019-05-20,0.14,4,365,365.0
33441480,"Nice DOUBLE ROOM next SAGRADA FAMILIA. WIFI, lift",251712486,Carol,el Camp d'en Grassot i Gràcia Nova,41.40417,2.16419,Private room,30,0,,,2,364,364.0
31562724,Piso recién reformado con mucho encanto.,236575554,Thaïs,el Baix Guinardó,41.41299,2.1643,Entire home/apt,31,3,2019-07-28,0.13,1,363,363.0
7580647,Beautiful Room in sunny Barcelona,20757025,Rafa,l'Antiga Esquerra de l'Eixample,41.39487,2.15454,Private room,31,17,2019-07-22,0.25,12,365,365.0
44289003,Habitació exterior en pis compartit,85938081,Xavier,el Raval,41.37578,2.17427,Private room,30,1,2020-11-30,0.41,3,132,132.01
27372954,Acogedora Habitacion - Sagrada Familia AC N 2,205728211,Matti,el Camp d'en Grassot i Gràcia Nova,41.40521,2.16888,Private room,3,11,2019-10-08,0.36,2,365,365.0
17784677,UNIQUEApartamentPerfect location+Incredible views!,8814467,Anna,la Dreta de l'Eixample,41.38973,2.17328,Entire home/apt,32,6,2019-03-06,0.14,1,362,362.0
21307144,"sf22 LET'S EAT TAPAS IN BARCELONA, SAGRADA FAMILIA",1447144,Apartments In Barcelona,la Sagrada Família,41.40219,2.17201,Entire home/apt,1,2,2019-10-02,0.12,126,0,0.0
47867468,Comfortable Double Room Best Location - Downtown,385703143,R & F,el Raval,41.38379,2.16402,Private room,2,0,,,1,365,365.0
31436717,Luminosa y acogedora Hab/ Bright and cozy room,235466369,Rocío,la Teixonera,41.42368,2.14897,Private room,2,47,2020-02-26,1.88,1,260,260.03
34334927,1 Ecological Double room in Sagrada Familia!,102657816,Elisa,la Sagrada Família,41.4052,2.17275,Private room,1,67,2020-03-15,3.13,2,0,0.0
5170965,Cozy Double Room/Linda Habitación Eixample,14349433,Jo,la Nova Esquerra de l'Eixample,41.38556,2.15272,Private room,2,52,2017-09-09,0.74,1,0,0.0
20724731,Cousy and sunny!!!,31732607,Helen,el Besòs i el Maresme,41.41512,2.21841,Private room,3,63,2019-10-19,1.5,7,0,0.0
17151410,H5ANE12 Cozy studio with balcony,114338664,Joan,el Fort Pienc,41.40073,2.17926,Entire home/apt,1,84,2020-03-05,1.75,17,0,0.0
34564384,Oasis penthouse in Sant Antoni Market,16163954,Weflating,Sant Antoni,41.37608,2.16271,Entire home/apt,1,0,,,6,307,307.03
